"id";"reputation";"ex";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"19029";"16";"0";"0";"1";"0,0000311204305365192";"8";"0,247356705620479";"0";"0"
"19031";"103";"0";"0";"1";"0,0000311204305365192";"7";"0,273454321747155";"0";"0"
"19033";"8";"0";"0";"1";"0,0000311204305365192";"7";"0,277964511842414";"0";"0"
"19034";"8";"0";"1";"5";"0,0000374945005479113";"7";"0,294590340485461";"0";"0,000244794250290666"
"19038";"1";"0";"2";"3";"0,000202581900065966";"7";"0,312527472527473";"0";"0,0232534089063765"
"19042";"8";"0";"1";"5";"0,0000374945005479113";"7";"0,283776234937355";"0";"0,000244794250290666"
"19044";"109";"0";"1";"5";"0,0000374945005479113";"7";"0,291618828932262";"0";"0,000244794250290666"
"19045";"116";"0";"0";"1";"0,0000311204305365192";"8";"0,248393405979324";"0";"0"
"19047";"16";"0";"0";"3";"0,0000311204305365192";"8";"0,275787187839305";"0";"0"
"19049";"108";"0";"0";"4";"0,0000311204305365192";"7";"0,299150332295785";"0";"0"
"19051";"21";"0";"1";"7";"0,0000354216319846129";"7";"0,304009575104728";"0";"0,000244794250290666"
"19053";"18";"0";"2";"4";"0,000120182599039325";"7";"0,310182357560422";"0";"0,0174697969476949"
"19060";"41";"0";"1";"1";"0,0000595735955441873";"8";"0,260630498533724";"15,6615882728477";"0,000749470507899686"
"19068";"8";"0";"2";"3";"0,0000908975560716632";"7";"0,285633938614816";"74,746126966592";"0,000522127277387882"
"19071";"11";"0";"1";"6";"0,0000362568168593035";"7";"0,311301759607809";"0";"0,000244794250290666"
"19073";"335";"1";"5";"46";"0,000198123624860825";"7";"0,360291882031012";"53200,5770191813";"0,025224937376965"
"19080";"116";"0";"3";"3";"0,000120079984503554";"7";"0,289707440306413";"5754,19194425445";"0,000811127102337163"
"19084";"113";"0";"0";"2";"0,0000311204305365192";"7";"0,27192781218934";"0";"0"
"19085";"6";"0";"0";"3";"0,0000311204305365192";"7";"0,303102625298329";"0";"0"
"19092";"11";"0";"0";"2";"0,0000311204305365192";"7";"0,305918788713008";"0";"0"
"19093";"112";"0";"1";"4";"0,0000606427868946319";"7";"0,299267615119118";"0";"0,00368791174863381"
"19094";"97";"0";"2";"2";"0,0000659635984574908";"7";"0,266911930325099";"6,247466439517";"0,0008116486409236"
"19098";"111";"0";"0";"8";"0,0000311204305365192";"7";"0,308092185063247";"0";"0"
"19099";"1004";"1";"72";"23";"0,00157185162786295";"7";"0,315971913607679";"75197,7924687405";"0,0726289711118835"
"19101";"16";"0";"0";"4";"0,0000311204305365192";"7";"0,304009575104728";"0";"0"
"19105";"101";"0";"1";"0";"0,0000946437244326048";"0";"0";"0";"0,0169300366253565"
"19106";"11";"0";"1";"0";"0,0000422653282153598";"0";"0";"0";"0,00174314180381253"
"19109";"6";"0";"0";"5";"0,0000311204305365192";"7";"0,303412969283276";"0";"0"
"19111";"101";"0";"1";"0";"0,0000946437244326048";"0";"0";"0";"0,0169300366253565"
"19113";"101";"0";"1";"0";"0,0000946437244326048";"0";"0";"0";"0,0169300366253565"
"19114";"101";"0";"1";"0";"0,0000727225208908012";"0";"0";"0";"0,0147346357469575"
"19117";"173";"0";"2";"2";"0,0000567607640849375";"7";"0,293147522058217";"733,661024036182";"0,000906324744812483"
"19118";"23";"0";"2";"2";"0,000140615122989994";"7";"0,288484946847359";"73,4417278293604";"0,013487324785267"
"19123";"31";"0";"1";"1";"0,000038404889945135";"8";"0,235930448632864";"0";"0,0013543375649438"
"19124";"11";"0";"1";"2";"0,0000454868992656904";"7";"0,294507497307597";"0";"0,00169560841589126"
"19127";"126";"0";"1";"6";"0,0000362568168593035";"7";"0,327893038266482";"0";"0,000244794250290666"
"19128";"33";"0";"2";"5";"0,000108293979063218";"7";"0,298138208654814";"113,412688321213";"0,00560077180061206"
"19129";"6";"0";"0";"2";"0,0000311204305365192";"8";"0,25427243475152";"0";"0"
"19130";"6";"0";"1";"4";"0,0000785822410457371";"7";"0,305569881382156";"1568,43547812799";"0,0021046763371314"
"19133";"3";"0";"0";"1";"0,0000311204305365192";"1";"1";"0";"0"
"19134";"6";"0";"0";"2";"0,0000311204305365192";"8";"0,232255958210904";"0";"0"
"19135";"116";"0";"1";"2";"0,0000541225221327741";"8";"0,260245901639344";"0";"0,000244794250290666"
"19139";"101";"0";"1";"0";"0,0000419609339063583";"0";"0";"0";"0,000282896966039712"
"19146";"3";"0";"2";"5";"0,000108293979063218";"8";"0,280561913029753";"0";"0,00560077180061206"
"19151";"24";"0";"1";"3";"0,0000434238702917287";"8";"0,275829972075706";"0";"0,000244794250290666"
