"id";"userId";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector";"ex";"reputation"
"13132";"13132";"1";"4";"0,0000395180153584541";"7";"0,298147061289511";"0";"0,000244794250290666";"0";"46"
"13133";"13133";"0";"3";"0,0000311204305365192";"7";"0,295201726714262";"0";"0";"0";"1"
"13135";"13135";"1";"2";"0,0000376592246924582";"7";"0,297614064462118";"0";"0,000585117498943649";"0";"11"
"13136";"13136";"4";"2";"0,000302176741147904";"8";"0,226116270194632";"14,9371597528839";"0,00273513725198373";"0";"171"
"13142";"13142";"1";"0";"0,0000455387868945318";"0";"0";"0";"0,000550225502988196";"0";"101"
"13143";"13143";"3";"12";"0,000113093368415577";"7";"0,326686270906083";"9503,25563950479";"0,00560332023391028";"0";"47"
"13147";"13147";"1";"2";"0,0000981513588424765";"7";"0,295118711605512";"0";"0,00659643176353142";"0";"36"
"13148";"13148";"3";"5";"0,0000608461435154551";"7";"0,284445511281805";"133,692105902348";"0,000773388911466298";"1";"238"
"13149";"13149";"0";"3";"0,0000311204305365192";"7";"0,303102625298329";"0";"0";"0";"14"
"13152";"13152";"0";"2";"0,0000311204305365192";"7";"0,297598125366139";"0";"0";"0";"11"
"13156";"13156";"1";"2";"0,0000590629123124523";"7";"0,292255836895758";"0";"0,00445000638542558";"0";"103"
"13162";"13162";"1";"3";"0,0000434238702917287";"7";"0,301509241987451";"0";"0,000244794250290666";"0";"9"
"13163";"13163";"1";"2";"0,0000720070537498947";"7";"0,276804484933427";"17,1333626187576";"0,00188247915189071";"0";"163"
"13166";"13166";"2";"3";"0,0000957149709546503";"7";"0,293559042113955";"26,7523934611273";"0,00267643505653513";"0";"113"
"13171";"13171";"4";"9";"0,000175053213318858";"7";"0,315971913607679";"323,20263402932";"0,0104514472460696";"0";"70"
"13175";"13175";"1";"0";"0,000034361040156481";"0";"0";"0";"0,000260998373449304";"0";"1"
"13177";"13177";"0";"5";"0,0000311204305365192";"7";"0,317897371714643";"0";"0";"0";"98"
"13179";"13179";"1";"7";"0,0000354216319846129";"7";"0,311002273919888";"0";"0,000244794250290666";"0";"21"
"13181";"13181";"1";"5";"0,0000374945005479113";"7";"0,296753734457148";"0";"0,000244794250290666";"0";"9"
"13187";"13187";"15";"8";"0,000263128210303945";"7";"0,313547362850591";"2806,77280901696";"0,017367211102733";"1";"405"
"13193";"13193";"0";"1";"0,0000311204305365192";"8";"0,242912767265524";"0";"0";"0";"23"
"13195";"13195";"0";"3";"0,0000311204305365192";"7";"0,295791049742139";"0";"0";"0";"1"
"13196";"13196";"10";"12";"0,000465027383598163";"7";"0,32421340629275";"7237,07061488856";"0,0537984841565545";"0";"66"
"13199";"13199";"1";"2";"0,0000561121865487923";"7";"0,29098796758615";"5,37637662883564";"0,000661678902640304";"0";"27"
"13203";"13203";"1";"1";"0,0000561121865487923";"7";"0,289565854850534";"36,8733864063354";"0,000661678902640304";"0";"107"
"13206";"13206";"0";"1";"0,0000311204305365192";"8";"0,273097304354504";"0";"0";"0";"24"
